ally_top,ally_jungle,ally_mid,ally_adc,ally_supp,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_supp,target_win
-1,517,805,202,40,-1,-1,-1,236,-1,0
-1,-1,805,202,40,-1,122,145,236,350,0
54,64,38,901,37,82,107,800,81,99,1
-1,64,38,-1,-1,82,-1,-1,81,99,1
54,64,38,-1,37,82,107,-1,81,99,1
54,64,38,901,37,82,-1,800,81,-1,1
82,107,800,81,99,54,64,38,901,37,0
-1,-1,-1,-1,99,54,-1,-1,901,-1,0
-1,107,800,-1,-1,-1,-1,-1,-1,37,0
-1,107,-1,81,99,54,64,38,901,37,0
23,876,60,21,800,17,136,238,42,517,0
-1,876,60,-1,-1,-1,-1,-1,-1,517,0
-1,876,60,-1,-1,-1,-1,-1,-1,-1,0
-1,876,-1,-1,-1,-1,136,238,-1,517,0
17,136,238,42,517,23,876,60,21,800,1
-1,136,-1,-1,-1,23,876,60,21,800,1
-1,-1,-1,-1,517,-1,876,-1,21,-1,1
-1,136,238,42,517,23,876,-1,-1,800,1
799,33,55,22,89,106,5,99,236,267,0
799,-1,-1,22,-1,106,-1,-1,-1,-1,0
799,33,55,22,89,-1,5,99,236,-1,0
799,33,55,22,-1,106,-1,99,236,267,0
106,5,99,236,267,799,33,55,22,89,1
106,-1,-1,-1,267,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,799,-1,-1,-1,89,1
-1,5,-1,-1,267,799,33,-1,22,-1,1
86,517,127,236,350,114,56,157,145,111,0
-1,-1,-1,-1,350,114,56,157,145,-1,0
-1,-1,-1,-1,-1,114,-1,-1,-1,-1,0
-1,-1,-1,236,-1,114,56,157,-1,-1,0
114,56,157,145,111,86,517,127,236,350,1
114,-1,157,145,111,86,-1,127,236,-1,1
114,-1,157,145,111,86,517,127,236,350,1
114,56,157,-1,111,86,-1,-1,-1,-1,1
98,35,245,498,497,122,200,69,51,99,1
-1,-1,-1,-1,497,-1,-1,-1,-1,-1,1
-1,35,245,498,-1,-1,200,-1,-1,-1,1
-1,-1,-1,-1,-1,-1,-1,-1,51,99,1
122,200,69,51,99,98,35,245,498,497,0
-1,200,69,-1,-1,-1,-1,-1,-1,-1,0
-1,200,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,99,-1,35,-1,-1,-1,0
19,17,777,21,98,36,9,157,110,53,0
-1,-1,-1,-1,98,36,-1,157,-1,-1,0
-1,-1,-1,-1,98,-1,9,157,110,-1,0
-1,-1,777,-1,-1,-1,9,-1,-1,-1,0
36,9,157,110,53,19,17,777,21,98,1
36,9,-1,110,-1,19,-1,777,-1,98,1
-1,-1,157,-1,-1,19,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,19,-1,777,-1,-1,1
54,24,805,145,111,2,254,99,22,147,1
-1,24,805,-1,-1,2,254,99,-1,147,1
-1,24,-1,-1,-1,-1,-1,-1,-1,147,1
54,24,-1,145,111,2,254,99,-1,-1,1
2,254,99,22,147,54,24,805,145,111,0
-1,-1,-1,22,-1,-1,24,-1,145,111,0
2,254,-1,22,-1,-1,24,805,145,111,0
2,254,99,22,-1,54,24,-1,145,111,0
74,77,166,236,127,86,234,245,222,50,1
-1,-1,-1,236,-1,-1,-1,245,222,-1,1
-1,77,-1,-1,-1,-1,-1,245,222,-1,1
74,77,166,236,127,86,-1,245,-1,-1,1
86,234,245,222,50,74,77,166,236,127,0
-1,-1,-1,-1,-1,-1,-1,-1,236,127,0
86,234,-1,-1,50,74,-1,-1,236,-1,0
-1,-1,-1,-1,50,-1,-1,-1,-1,127,0
154,234,157,523,412,84,102,90,804,117,1
-1,-1,-1,-1,-1,84,102,90,804,117,1
154,-1,157,523,412,84,102,90,804,117,1
154,234,157,523,412,-1,102,90,804,117,1
84,102,90,804,117,154,234,157,523,412,0
-1,102,-1,-1,-1,-1,-1,-1,-1,-1,0
84,102,90,804,117,-1,234,157,523,412,0
-1,-1,-1,804,-1,-1,-1,-1,-1,412,0
24,64,75,145,3,98,120,777,222,235,1
24,64,-1,-1,3,98,-1,777,222,-1,1
24,-1,75,145,3,-1,120,777,222,235,1
-1,-1,-1,-1,3,-1,120,-1,-1,-1,1
98,120,777,222,235,24,64,75,145,3,0
-1,120,-1,-1,235,24,-1,75,145,-1,0
98,120,-1,222,235,-1,-1,75,-1,3,0
98,-1,-1,222,235,-1,64,75,-1,3,0
79,120,7,110,350,875,31,99,145,902,1
-1,-1,-1,-1,-1,875,-1,-1,-1,-1,1
-1,-1,7,-1,350,-1,-1,-1,-1,-1,1
79,-1,7,-1,350,875,31,99,145,902,1
875,31,99,145,902,79,120,7,110,350,0
875,-1,99,-1,902,-1,-1,7,110,-1,0
-1,-1,-1,-1,902,-1,120,-1,-1,-1,0
-1,-1,-1,145,902,-1,-1,-1,-1,-1,0
164,30,38,51,902,14,950,105,145,235,0
-1,-1,-1,51,-1,-1,950,-1,-1,235,0
-1,-1,-1,51,902,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,105,-1,-1,0
14,950,105,145,235,164,30,38,51,902,1
-1,-1,-1,-1,235,-1,-1,-1,-1,-1,1
-1,-1,-1,145,-1,-1,30,-1,-1,-1,1
-1,-1,-1,145,-1,-1,-1,-1,51,-1,1
17,233,90,51,101,777,33,910,147,142,0
-1,233,-1,51,-1,-1,33,-1,-1,142,0
-1,-1,-1,-1,-1,-1,33,-1,-1,-1,0
17,233,-1,-1,-1,777,33,-1,-1,142,0
777,33,910,147,142,17,233,90,51,101,1
777,33,-1,147,-1,-1,-1,-1,51,-1,1
-1,-1,-1,-1,-1,-1,-1,90,51,101,1
777,-1,-1,147,-1,-1,-1,90,-1,-1,1
86,238,84,22,201,39,104,517,222,63,0
86,238,-1,-1,201,-1,-1,-1,222,-1,0
86,-1,84,-1,201,-1,104,-1,222,63,0
86,-1,-1,22,201,-1,-1,-1,222,63,0
39,104,517,222,63,86,238,84,22,201,1
39,104,517,-1,63,-1,238,84,22,201,1
39,-1,517,222,63,-1,238,84,22,201,1
39,-1,-1,-1,63,-1,-1,-1,-1,-1,1
74,234,7,18,350,54,246,55,236,89,0
74,-1,-1,18,350,-1,246,55,-1,89,0
74,-1,-1,18,350,-1,-1,-1,-1,-1,0
-1,-1,-1,18,-1,-1,246,-1,-1,-1,0
54,246,55,236,89,74,234,7,18,350,1
54,246,55,236,89,74,234,7,18,-1,1
-1,-1,-1,-1,-1,74,234,-1,-1,-1,1
-1,-1,-1,-1,-1,74,234,7,-1,-1,1
875,245,38,51,161,24,121,101,15,235,0
875,-1,-1,-1,-1,-1,-1,-1,15,-1,0
-1,245,38,-1,161,24,-1,-1,15,-1,0
875,-1,-1,-1,161,24,-1,-1,15,-1,0
24,121,101,15,235,875,245,38,51,161,1
24,121,-1,15,-1,875,245,38,51,-1,1
-1,-1,-1,-1,235,875,245,-1,-1,-1,1
24,121,-1,15,-1,875,-1,-1,51,161,1
122,234,84,221,147,50,233,157,804,89,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,89,0
122,-1,84,221,147,50,233,157,804,89,0
-1,234,-1,221,147,50,233,157,804,-1,0
50,233,157,804,89,122,234,84,221,147,1
-1,-1,-1,-1,-1,122,-1,-1,-1,-1,1
-1,-1,-1,804,-1,122,234,-1,-1,-1,1
50,233,157,804,89,122,234,-1,221,147,1
92,203,25,18,26,106,246,24,145,7,1
-1,203,25,-1,-1,106,-1,-1,145,-1,1
-1,-1,-1,18,26,-1,246,-1,-1,7,1
-1,203,-1,-1,-1,-1,-1,-1,145,7,1
106,246,24,145,7,92,203,25,18,26,0
-1,-1,24,145,-1,-1,-1,25,-1,-1,0
-1,-1,24,145,-1,92,203,25,18,26,0
106,-1,24,145,7,-1,203,25,-1,-1,0
150,56,112,202,16,895,121,105,115,412,1
-1,-1,112,-1,-1,-1,-1,-1,115,-1,1
-1,56,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,-1,-1,202,16,895,121,105,115,412,1
895,121,105,115,412,150,56,112,202,16,0
-1,-1,105,-1,412,150,56,112,202,-1,0
895,121,105,115,412,-1,56,-1,-1,16,0
895,-1,105,115,412,150,56,112,-1,16,0
904,62,7,81,223,154,104,131,222,412,1
-1,62,-1,-1,-1,-1,-1,-1,-1,-1,1
-1,62,-1,-1,223,-1,-1,131,-1,-1,1
904,62,7,81,223,154,104,131,-1,412,1
154,104,131,222,412,904,62,7,81,223,0
-1,-1,-1,-1,-1,904,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,223,0
154,-1,-1,-1,-1,-1,-1,7,-1,223,0
122,234,240,51,99,74,56,805,145,37,1
122,234,-1,-1,-1,-1,-1,-1,145,-1,1
-1,234,-1,-1,-1,-1,-1,-1,145,-1,1
122,-1,-1,51,99,74,56,-1,145,37,1
74,56,805,145,37,122,234,240,51,99,0
74,56,-1,145,-1,122,234,240,51,99,0
74,56,805,-1,-1,-1,-1,240,-1,-1,0
74,-1,805,145,-1,122,-1,240,-1,99,0
39,30,105,222,350,62,64,10,429,12,0
39,30,-1,-1,350,62,64,10,-1,-1,0
39,30,105,222,-1,62,64,10,429,-1,0
-1,-1,105,222,350,62,64,-1,429,-1,0
62,64,10,429,12,39,30,105,222,350,1
-1,64,10,429,12,39,-1,105,-1,-1,1
62,-1,10,429,-1,39,-1,105,-1,-1,1
62,64,10,429,-1,39,-1,105,222,-1,1
875,805,103,92,117,50,20,777,202,7,1
875,805,-1,92,117,50,20,777,202,-1,1
-1,-1,103,-1,-1,50,-1,-1,-1,-1,1
-1,-1,-1,92,117,50,20,777,202,-1,1
50,20,777,202,7,875,805,103,92,117,0
50,-1,-1,-1,-1,-1,805,-1,-1,-1,0
-1,-1,-1,202,-1,-1,-1,-1,92,-1,0
-1,-1,777,202,-1,875,805,-1,92,117,0
58,32,34,22,147,106,77,103,222,350,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,350,1
58,32,34,-1,147,106,77,103,222,350,1
58,32,34,22,147,106,-1,103,-1,-1,1
106,77,103,222,350,58,32,34,22,147,0
106,77,103,-1,-1,58,-1,-1,22,-1,0
-1,-1,103,222,-1,-1,-1,-1,22,-1,0
-1,77,-1,-1,350,-1,-1,-1,-1,-1,0
86,120,84,18,350,240,234,805,67,40,1
86,-1,84,18,350,240,-1,805,-1,40,1
86,120,84,18,-1,240,234,-1,-1,-1,1
-1,120,84,-1,-1,-1,-1,-1,67,-1,1
240,234,805,67,40,86,120,84,18,350,0
-1,234,805,67,40,86,120,84,18,350,0
240,234,805,67,-1,86,120,-1,-1,-1,0
-1,-1,-1,-1,40,86,-1,-1,-1,-1,0
799,11,238,115,32,75,92,69,29,412,1
-1,-1,-1,115,-1,-1,-1,-1,-1,-1,1
-1,11,238,-1,32,-1,-1,69,29,412,1
799,-1,-1,115,32,-1,-1,-1,-1,-1,1
75,92,69,29,412,799,11,238,115,32,0
-1,-1,-1,-1,412,-1,-1,-1,-1,-1,0
75,-1,69,29,412,-1,-1,-1,-1,32,0
-1,-1,69,29,412,799,-1,-1,115,-1,0
19,246,105,99,82,875,154,134,222,32,0
19,246,105,99,82,-1,154,134,222,32,0
-1,-1,-1,-1,-1,-1,154,134,-1,-1,0
19,246,105,99,-1,875,154,134,222,32,0
875,154,134,222,32,19,246,105,99,82,1
875,154,-1,-1,32,19,246,105,99,82,1
875,154,-1,222,32,19,-1,105,-1,82,1
-1,-1,-1,222,-1,19,-1,-1,99,82,1
875,19,800,202,143,114,102,45,222,26,1
875,19,800,202,143,114,102,45,-1,-1,1
-1,19,800,202,143,-1,102,45,-1,-1,1
-1,19,-1,-1,143,114,-1,45,222,-1,1
114,102,45,222,26,875,19,800,202,143,0
114,102,45,222,26,875,19,800,-1,-1,0
114,102,45,222,26,875,19,800,202,-1,0
-1,102,-1,-1,-1,-1,-1,-1,-1,-1,0
67,154,90,145,32,2,9,777,222,40,1
-1,-1,-1,-1,-1,2,-1,-1,-1,-1,1
67,-1,90,145,32,2,9,-1,222,40,1
-1,154,90,-1,32,2,9,777,222,-1,1
2,9,777,222,40,67,154,90,145,32,0
2,9,777,222,40,67,154,90,145,-1,0
2,-1,-1,-1,40,-1,-1,90,-1,-1,0
2,9,777,222,40,-1,-1,90,145,32,0
777,234,157,50,117,58,131,115,236,267,1
777,-1,157,-1,117,58,131,115,236,267,1
-1,-1,157,50,117,-1,131,115,236,-1,1
-1,-1,-1,50,-1,-1,-1,-1,-1,-1,1
58,131,115,236,267,777,234,157,50,117,0
-1,131,-1,236,-1,-1,234,157,50,-1,0
58,-1,-1,-1,-1,-1,-1,157,50,-1,0
-1,131,-1,236,267,777,-1,157,-1,117,0
39,28,84,115,350,86,64,4,119,16,1
39,-1,-1,-1,350,86,64,-1,119,16,1
39,-1,-1,-1,350,-1,-1,-1,-1,-1,1
39,-1,-1,-1,350,86,-1,-1,-1,-1,1
86,64,4,119,16,39,28,84,115,350,0
-1,-1,-1,-1,16,39,-1,84,115,-1,0
86,64,4,119,16,39,28,-1,115,350,0
86,64,4,119,16,39,28,84,115,-1,0
98,35,238,222,57,122,5,805,51,555,1
-1,-1,238,222,-1,122,-1,-1,51,555,1
-1,35,-1,-1,57,122,-1,805,-1,-1,1
-1,35,238,222,57,-1,5,-1,51,555,1
122,5,805,51,555,98,35,238,222,57,0
122,5,-1,51,555,-1,-1,-1,-1,-1,0
122,5,805,-1,555,98,-1,238,-1,-1,0
122,5,805,51,555,-1,35,-1,222,57,0
516,102,45,222,117,164,154,112,110,99,0
516,-1,-1,-1,-1,164,-1,-1,-1,-1,0
-1,102,45,222,117,164,154,112,110,-1,0
516,102,45,222,117,164,154,-1,110,99,0
164,154,112,110,99,516,102,45,222,117,1
-1,154,-1,110,99,516,102,45,222,117,1
-1,-1,-1,110,-1,516,-1,-1,-1,-1,1
164,154,112,110,99,516,102,45,-1,-1,1
141,75,131,498,25,74,36,105,91,235,0
141,75,-1,498,25,74,36,105,91,235,0
-1,75,-1,498,-1,-1,36,105,91,-1,0
-1,-1,-1,-1,-1,-1,36,105,91,235,0
74,36,105,91,235,141,75,131,498,25,1
74,36,105,91,-1,141,75,131,498,25,1
74,-1,105,-1,235,-1,75,-1,-1,25,1
-1,-1,-1,-1,-1,-1,-1,-1,498,-1,1
157,141,13,21,44,85,30,777,804,161,0
-1,-1,-1,-1,44,-1,30,-1,804,-1,0
-1,-1,-1,21,44,85,-1,777,-1,-1,0
157,141,13,21,44,85,30,-1,804,161,0
85,30,777,804,161,157,141,13,21,44,1
-1,-1,777,804,-1,-1,141,13,-1,-1,1
85,-1,-1,804,-1,157,-1,-1,21,44,1
85,-1,-1,804,-1,157,-1,-1,-1,44,1
141,517,134,202,235,48,120,13,18,111,1
-1,-1,134,202,-1,-1,-1,-1,-1,-1,1
-1,-1,134,202,-1,-1,120,13,-1,-1,1
141,-1,-1,202,235,-1,-1,-1,-1,111,1
48,120,13,18,111,141,517,134,202,235,0
-1,120,13,-1,-1,-1,-1,134,202,-1,0
48,120,13,-1,-1,141,-1,-1,202,235,0
-1,-1,-1,18,-1,-1,-1,134,-1,-1,0
2,62,134,202,267,23,200,63,222,117,1
-1,-1,134,202,267,23,200,63,-1,-1,1
2,62,-1,202,267,23,200,63,-1,117,1
-1,62,134,-1,-1,23,200,-1,-1,-1,1
23,200,63,222,117,2,62,134,202,267,0
-1,200,-1,-1,117,2,62,-1,-1,-1,0
-1,200,63,222,117,2,62,-1,-1,267,0
23,-1,-1,-1,117,2,-1,134,-1,267,0
86,102,777,901,143,6,24,99,67,117,0
-1,-1,777,901,143,6,24,99,67,117,0
-1,-1,-1,901,143,6,-1,-1,-1,117,0
86,-1,-1,-1,143,-1,24,99,-1,-1,0
6,24,99,67,117,86,102,777,901,143,1
-1,-1,-1,67,-1,-1,-1,-1,-1,-1,1
6,-1,99,67,117,86,102,777,901,143,1
6,-1,99,67,117,86,102,777,-1,-1,1
126,59,245,145,555,78,11,39,112,22,1
-1,-1,245,145,-1,78,11,39,112,22,1
-1,59,245,145,555,78,11,-1,-1,22,1
126,-1,-1,-1,555,78,11,39,112,22,1
78,11,39,112,22,126,59,245,145,555,0
78,11,39,-1,22,-1,-1,-1,-1,555,0
78,-1,-1,112,22,-1,-1,-1,-1,-1,0
78,11,-1,112,22,126,-1,245,145,555,0
39,33,112,145,40,54,20,777,222,235,0
39,-1,-1,145,40,54,20,777,222,235,0
-1,-1,-1,-1,-1,-1,20,-1,222,-1,0
-1,-1,-1,145,40,-1,-1,-1,-1,235,0
54,20,777,222,235,39,33,112,145,40,1
54,20,777,222,235,-1,33,112,145,40,1
54,-1,777,222,235,39,33,112,145,40,1
54,20,777,222,235,39,-1,112,145,40,1
23,24,910,222,267,69,141,36,51,99,0
23,-1,-1,-1,-1,-1,141,-1,51,99,0
-1,24,910,222,267,69,141,36,51,99,0
-1,24,910,222,267,69,141,36,51,99,0
69,141,36,51,99,23,24,910,222,267,1
-1,-1,-1,-1,99,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,23,-1,910,-1,-1,1
69,141,36,51,99,-1,24,910,222,267,1
24,104,84,222,107,27,254,55,145,412,0
24,-1,-1,222,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,145,-1,0
24,-1,84,222,-1,27,254,55,145,412,0
27,254,55,145,412,24,104,84,222,107,1
-1,-1,-1,-1,-1,-1,-1,-1,222,-1,1
-1,254,-1,145,412,-1,-1,-1,-1,107,1
-1,254,55,-1,-1,24,-1,84,222,-1,1
904,54,134,901,902,516,59,517,29,555,1
-1,54,-1,901,-1,-1,-1,517,-1,-1,1
-1,54,134,-1,902,516,59,517,-1,555,1
904,-1,134,901,-1,516,59,-1,-1,-1,1
516,59,517,29,555,904,54,134,901,902,0
516,59,-1,-1,-1,-1,-1,-1,901,902,0
-1,-1,-1,-1,-1,-1,-1,-1,901,-1,0
516,-1,517,29,-1,904,54,134,901,902,0
102,28,27,18,89,875,200,805,222,910,0
-1,-1,-1,-1,89,-1,-1,-1,-1,-1,0
-1,28,-1,-1,-1,875,200,805,222,910,0
-1,28,27,18,89,875,-1,805,222,910,0
875,200,805,222,910,102,28,27,18,89,1
875,200,-1,222,910,102,28,27,18,89,1
875,-1,805,222,910,102,28,27,18,89,1
875,200,805,222,-1,102,28,27,18,89,1
2,104,101,145,53,86,36,517,236,12,0
2,104,-1,145,53,86,36,517,236,-1,0
2,104,101,145,-1,86,36,517,236,12,0
2,104,101,145,53,-1,-1,517,236,-1,0
86,36,517,236,12,2,104,101,145,53,1
86,36,517,236,12,-1,-1,-1,145,53,1
-1,36,-1,236,12,2,104,101,145,53,1
86,-1,-1,-1,12,2,-1,101,-1,-1,1
75,19,134,202,432,83,24,805,22,101,0
-1,-1,-1,202,-1,-1,-1,805,22,-1,0
-1,19,-1,202,-1,83,24,805,22,101,0
75,-1,134,202,432,83,24,-1,22,101,0
83,24,805,22,101,75,19,134,202,432,1
-1,-1,805,-1,-1,-1,-1,134,202,-1,1
-1,24,-1,-1,-1,-1,-1,-1,-1,432,1
-1,-1,-1,22,-1,-1,-1,-1,-1,-1,1
164,64,238,800,25,875,35,90,21,412,0
-1,64,238,800,-1,875,35,90,21,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,412,0
-1,-1,238,-1,-1,875,-1,-1,-1,-1,0
875,35,90,21,412,164,64,238,800,25,1
875,35,90,21,412,164,64,238,800,-1,1
875,35,90,21,412,164,64,-1,800,25,1
875,-1,90,-1,412,164,-1,-1,-1,25,1
67,131,5,202,63,516,35,4,523,412,1
67,-1,-1,202,-1,-1,-1,-1,-1,-1,1
-1,131,5,202,63,516,35,4,523,-1,1
-1,-1,-1,-1,63,-1,-1,-1,523,412,1
516,35,4,523,412,67,131,5,202,63,0
516,35,-1,523,412,67,131,5,202,63,0
516,-1,4,523,412,67,131,-1,202,63,0
516,35,4,523,412,67,131,-1,202,63,0
2,31,39,1,89,420,200,910,15,147,0
2,31,39,-1,-1,-1,-1,-1,15,-1,0
-1,-1,-1,-1,89,-1,-1,910,-1,-1,0
2,31,39,1,89,-1,200,910,15,-1,0
420,200,910,15,147,2,31,39,1,89,1
-1,200,-1,15,-1,-1,-1,39,-1,89,1
420,-1,910,15,147,-1,31,-1,1,89,1
-1,200,910,-1,147,2,31,39,1,-1,1
266,56,61,147,412,82,200,45,145,117,0
-1,-1,-1,147,412,-1,-1,45,-1,117,0
266,56,61,147,412,82,200,-1,145,117,0
-1,-1,61,-1,-1,-1,-1,45,145,117,0
82,200,45,145,117,266,56,61,147,412,1
-1,200,45,-1,117,-1,-1,-1,147,-1,1
82,-1,-1,-1,117,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,-1,266,-1,61,-1,-1,1
904,133,134,51,202,58,48,517,63,25,0
904,133,134,-1,202,58,48,-1,63,-1,0
-1,133,-1,51,-1,58,-1,-1,-1,-1,0
-1,133,134,-1,-1,-1,48,517,-1,-1,0
58,48,517,63,25,904,133,134,51,202,1
-1,-1,-1,63,-1,-1,-1,-1,-1,-1,1
-1,48,-1,-1,-1,-1,-1,-1,51,-1,1
-1,-1,517,63,-1,-1,133,-1,-1,202,1
86,234,90,157,43,17,91,145,236,117,0
86,-1,90,157,43,-1,91,-1,-1,117,0
-1,-1,-1,-1,-1,17,-1,145,236,117,0
-1,234,-1,157,-1,17,-1,-1,-1,-1,0
17,91,145,236,117,86,234,90,157,43,1
17,-1,-1,236,117,86,234,90,-1,43,1
-1,-1,-1,-1,117,-1,234,-1,-1,43,1
17,-1,145,236,117,86,-1,90,-1,-1,1
122,77,54,804,16,517,56,157,221,143,1
122,77,54,804,16,-1,-1,157,-1,-1,1
-1,-1,54,-1,16,-1,56,-1,-1,-1,1
-1,77,-1,804,-1,-1,56,-1,-1,-1,1
517,56,157,221,143,122,77,54,804,16,0
-1,-1,-1,221,-1,122,-1,54,-1,16,0
517,-1,157,221,143,122,77,54,804,-1,0
517,56,-1,-1,143,-1,77,54,804,16,0
79,62,3,222,235,157,19,84,202,111,1
79,62,3,-1,235,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,235,-1,-1,-1,202,-1,1
79,62,3,-1,235,157,19,84,202,111,1
157,19,84,202,111,79,62,3,222,235,0
157,19,84,202,111,79,-1,3,222,235,0
157,19,84,202,111,79,62,3,-1,235,0
157,-1,84,-1,111,-1,-1,3,-1,-1,0
83,64,134,145,161,74,48,246,22,143,0
83,64,134,145,-1,74,-1,-1,22,143,0
-1,-1,-1,-1,-1,-1,-1,246,-1,-1,0
83,64,-1,-1,161,-1,48,246,22,-1,0
74,48,246,22,143,83,64,134,145,161,1
74,48,246,22,-1,-1,64,-1,145,161,1
74,48,246,22,-1,83,-1,134,145,161,1
-1,48,246,22,-1,-1,64,134,145,161,1
157,234,112,22,526,98,24,134,804,147,1
-1,-1,-1,-1,-1,98,-1,-1,-1,-1,1
-1,234,-1,-1,-1,98,-1,-1,-1,-1,1
-1,-1,-1,-1,526,-1,-1,-1,-1,-1,1
98,24,134,804,147,157,234,112,22,526,0
98,24,134,804,147,157,234,112,22,-1,0
-1,-1,-1,-1,-1,-1,-1,112,-1,-1,0
98,24,134,804,147,157,234,112,22,-1,0
950,33,517,15,147,164,56,777,235,89,1
950,33,-1,-1,-1,164,56,777,-1,-1,1
950,-1,-1,-1,147,-1,-1,-1,-1,-1,1
-1,-1,-1,-1,147,-1,56,777,-1,-1,1
164,56,777,235,89,950,33,517,15,147,0
-1,56,-1,235,89,950,-1,-1,-1,147,0
164,56,-1,235,89,950,33,517,15,-1,0
164,56,777,-1,-1,950,33,517,15,147,0
223,141,55,18,80,2,102,8,360,40,1
-1,-1,55,-1,-1,2,-1,-1,-1,-1,1
223,-1,-1,18,80,2,102,-1,360,40,1
223,-1,55,18,-1,2,102,8,360,40,1
2,102,8,360,40,223,141,55,18,80,0
2,-1,-1,-1,-1,-1,141,55,-1,-1,0
2,-1,-1,-1,40,-1,141,-1,-1,-1,0
2,-1,-1,-1,-1,223,-1,-1,18,-1,0
2,102,112,145,350,86,234,777,81,235,1
2,-1,112,145,-1,-1,-1,777,81,235,1
2,102,112,145,350,-1,-1,777,81,-1,1
2,102,112,145,350,86,234,777,81,-1,1
86,234,777,81,235,2,102,112,145,350,0
-1,234,-1,81,235,-1,102,112,-1,350,0
-1,234,777,81,235,2,102,112,145,350,0
86,234,-1,-1,-1,-1,-1,112,145,-1,0
157,31,134,51,63,67,35,800,145,147,1
157,31,134,51,63,67,35,-1,145,147,1
-1,-1,-1,-1,-1,-1,35,800,-1,-1,1
-1,31,134,-1,63,67,35,800,-1,-1,1
67,35,800,145,147,157,31,134,51,63,0
-1,-1,-1,145,-1,157,-1,-1,-1,63,0
67,-1,800,-1,147,157,31,134,51,63,0
67,35,-1,-1,147,-1,-1,134,51,-1,0
98,203,136,147,111,86,62,90,222,555,1
-1,-1,-1,147,111,86,62,90,222,555,1
98,-1,-1,-1,-1,86,62,90,222,-1,1
-1,203,136,-1,-1,-1,-1,-1,-1,-1,1
86,62,90,222,555,98,203,136,147,111,0
-1,62,90,222,-1,98,-1,136,147,111,0
-1,-1,-1,-1,555,98,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,203,-1,-1,-1,0
27,200,112,895,99,6,31,202,804,16,1
-1,200,-1,-1,99,6,-1,202,804,16,1
27,-1,-1,-1,-1,6,31,202,-1,-1,1
-1,-1,112,-1,99,6,-1,-1,-1,-1,1
6,31,202,804,16,27,200,112,895,99,0
-1,31,-1,-1,16,-1,-1,-1,-1,-1,0
6,31,202,-1,16,27,-1,-1,895,99,0
-1,-1,-1,-1,-1,-1,-1,112,-1,-1,0
164,141,112,51,53,2,35,101,202,526,0
-1,-1,-1,-1,53,2,35,-1,202,526,0
164,141,-1,-1,-1,-1,-1,101,-1,-1,0
-1,-1,-1,-1,53,2,-1,-1,-1,526,0
2,35,101,202,526,164,141,112,51,53,1
2,35,101,202,526,-1,141,112,51,53,1
2,35,101,202,-1,164,-1,-1,51,53,1
2,35,-1,202,-1,164,141,112,51,53,1
17,60,950,18,12,106,56,910,51,16,0
-1,-1,-1,-1,-1,-1,56,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,16,0
-1,60,950,-1,12,-1,-1,-1,-1,-1,0
106,56,910,51,16,17,60,950,18,12,1
106,56,910,-1,16,17,-1,-1,18,-1,1
-1,56,-1,-1,16,17,-1,950,-1,-1,1
106,56,910,51,16,17,-1,950,18,12,1
875,233,134,21,143,17,102,893,18,89,1
875,-1,134,-1,143,17,102,893,18,89,1
875,-1,134,21,143,17,102,893,-1,89,1
-1,-1,134,21,-1,-1,102,-1,18,89,1
17,102,893,18,89,875,233,134,21,143,0
-1,-1,893,-1,89,-1,233,-1,-1,-1,0
-1,102,-1,-1,-1,-1,-1,-1,-1,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,-1,143,0
136,56,161,222,16,166,517,105,29,223,1
136,-1,-1,-1,-1,166,517,-1,29,223,1
-1,-1,-1,-1,-1,166,-1,-1,-1,-1,1
-1,-1,-1,222,16,-1,-1,-1,-1,-1,1
166,517,105,29,223,136,56,161,222,16,0
-1,-1,-1,-1,-1,-1,56,161,-1,-1,0
-1,-1,-1,-1,-1,-1,56,-1,-1,16,0
166,517,-1,-1,223,136,-1,161,-1,16,0
122,876,238,18,43,86,56,3,498,89,1
-1,-1,238,-1,-1,-1,56,-1,-1,-1,1
-1,-1,238,-1,-1,86,-1,-1,-1,-1,1
122,876,-1,18,43,-1,56,-1,-1,89,1
86,56,3,498,89,122,876,238,18,43,0
-1,-1,-1,-1,-1,122,-1,238,-1,43,0
-1,56,-1,498,-1,122,-1,-1,18,43,0
-1,56,3,498,89,122,876,238,18,43,0
75,133,910,222,902,48,91,105,18,526,0
