ally_top,ally_jungle,ally_mid,ally_adc,ally_supp,enemy_top,enemy_jungle,enemy_mid,enemy_adc,enemy_supp,target_win
-1,-1,517,81,99,36,121,-1,222,-1,0
58,14,517,81,99,36,121,61,222,-1,0
36,121,61,222,53,58,14,517,81,99,1
36,121,61,222,53,58,14,-1,81,99,1
-1,-1,-1,222,53,-1,14,-1,81,-1,1
36,-1,-1,-1,-1,-1,14,-1,81,-1,1
31,121,84,15,99,86,887,131,523,111,1
-1,121,84,15,99,-1,887,-1,523,111,1
31,-1,-1,15,99,86,887,131,-1,-1,1
31,121,-1,-1,99,86,-1,131,523,111,1
86,887,131,523,111,31,121,84,15,99,0
-1,887,131,-1,-1,31,-1,84,15,-1,0
86,-1,131,-1,-1,-1,-1,-1,15,-1,0
-1,-1,-1,-1,-1,-1,-1,-1,15,-1,0
157,32,38,236,99,799,64,75,51,267,0
157,-1,38,236,99,799,-1,-1,-1,267,0
157,32,38,236,99,799,64,75,51,-1,0
157,-1,38,236,99,799,64,75,51,267,0
799,64,75,51,267,157,32,38,236,99,1
799,-1,75,51,-1,157,32,38,236,99,1
-1,-1,-1,-1,-1,-1,-1,38,-1,-1,1
799,-1,-1,-1,-1,-1,-1,38,236,-1,1
887,11,517,235,267,799,24,103,222,147,0
887,11,-1,235,-1,799,24,103,222,147,0
887,11,517,235,267,-1,-1,103,222,-1,0
887,-1,-1,-1,267,799,24,-1,-1,147,0
799,24,103,222,147,887,11,517,235,267,1
-1,-1,-1,222,147,887,11,-1,235,-1,1
799,-1,-1,-1,147,887,11,517,235,-1,1
-1,-1,-1,-1,147,-1,-1,-1,-1,267,1
41,36,711,18,99,799,56,7,15,147,1
-1,-1,-1,-1,-1,799,-1,7,-1,-1,1
41,-1,711,18,-1,-1,-1,7,15,147,1
41,36,-1,18,99,799,56,7,15,147,1
799,56,7,15,147,41,36,711,18,99,0
-1,-1,-1,15,147,41,-1,711,18,99,0
799,56,7,15,147,41,36,-1,-1,99,0
799,56,7,15,147,-1,36,711,-1,99,0
82,200,112,21,555,77,106,901,81,117,1
-1,-1,-1,-1,555,77,-1,-1,81,-1,1
-1,-1,112,-1,555,77,106,901,81,117,1
82,200,-1,-1,-1,-1,-1,-1,-1,-1,1
77,106,901,81,117,82,200,112,21,555,0
77,106,901,81,-1,82,200,-1,-1,555,0
-1,-1,-1,-1,-1,-1,-1,-1,21,-1,0
-1,-1,901,-1,-1,-1,-1,-1,-1,-1,0
92,141,4,22,902,58,234,101,901,350,1
-1,-1,-1,-1,-1,-1,-1,101,-1,-1,1
92,141,-1,-1,902,58,-1,-1,901,-1,1
-1,-1,-1,-1,902,-1,-1,-1,-1,-1,1
58,234,101,901,350,92,141,4,22,902,0
58,234,-1,901,-1,92,141,4,22,-1,0
-1,-1,-1,901,350,-1,141,-1,22,-1,0
58,234,101,901,350,92,141,4,22,-1,0
133,234,136,236,350,75,20,777,202,16,1
133,234,136,236,350,75,-1,777,202,16,1
133,234,136,-1,350,75,20,777,-1,16,1
133,234,-1,236,350,75,20,777,202,16,1
75,20,777,202,16,133,234,136,236,350,0
-1,20,-1,-1,-1,-1,-1,136,-1,-1,0
75,20,-1,-1,16,133,-1,-1,236,350,0
75,20,777,202,16,133,-1,-1,236,-1,0
82,102,39,901,350,875,54,68,360,412,1
-1,-1,-1,-1,350,-1,54,-1,-1,-1,1
82,-1,39,901,-1,875,-1,68,360,412,1
82,102,39,-1,350,875,-1,68,360,412,1
875,54,68,360,412,82,102,39,901,350,0
-1,-1,-1,360,-1,-1,-1,-1,-1,-1,0
-1,-1,68,360,-1,-1,-1,-1,901,350,0
-1,54,68,360,412,82,102,-1,901,-1,0
897,107,163,901,350,39,121,38,67,89,0
897,107,-1,901,350,-1,121,-1,67,-1,0
897,107,-1,901,350,39,121,-1,67,89,0
-1,-1,163,-1,-1,-1,-1,-1,-1,-1,0
39,121,38,67,89,897,107,163,901,350,1
39,121,38,67,89,897,-1,163,901,-1,1
-1,-1,38,67,-1,897,-1,163,901,350,1
-1,-1,-1,-1,89,-1,-1,163,901,-1,1
75,245,777,145,350,141,48,7,222,412,1
-1,245,777,145,-1,141,-1,-1,-1,-1,1
75,245,-1,-1,-1,141,48,-1,-1,-1,1
-1,-1,-1,145,350,-1,48,-1,-1,-1,1
141,48,7,222,412,75,245,777,145,350,0
141,48,-1,-1,-1,-1,245,-1,-1,350,0
141,-1,7,-1,412,75,-1,-1,145,-1,0
-1,48,7,222,412,75,245,777,145,350,0
266,80,245,21,143,777,77,38,81,350,1
-1,-1,245,-1,143,-1,77,38,-1,350,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,350,1
266,80,245,-1,-1,777,77,-1,81,350,1
777,77,38,81,350,266,80,245,21,143,0
777,-1,-1,-1,350,266,-1,245,21,143,0
-1,-1,38,-1,-1,266,-1,245,-1,143,0
-1,-1,38,-1,350,-1,-1,-1,-1,-1,0
24,56,103,67,432,86,35,90,360,53,1
24,56,103,67,432,-1,-1,90,-1,53,1
24,56,103,67,432,86,35,90,360,-1,1
-1,-1,-1,67,-1,86,35,-1,360,-1,1
86,35,90,360,53,24,56,103,67,432,0
-1,35,90,-1,53,24,-1,-1,-1,432,0
-1,-1,-1,360,53,24,56,103,67,432,0
-1,-1,90,-1,-1,24,-1,103,-1,-1,0
223,59,84,222,31,157,131,61,804,37,1
223,-1,84,-1,31,-1,-1,-1,804,-1,1
223,59,84,222,31,-1,131,61,804,37,1
-1,59,84,222,-1,157,-1,-1,804,37,1
157,131,61,804,37,223,59,84,222,31,0
-1,-1,61,-1,-1,-1,-1,84,-1,31,0
157,131,61,-1,37,-1,59,84,222,-1,0
157,131,61,804,37,223,-1,84,222,-1,0
122,131,84,895,16,420,245,157,202,12,0
-1,-1,-1,895,16,420,245,157,202,12,0
122,131,84,895,16,420,245,-1,202,12,0
122,131,-1,-1,-1,-1,-1,-1,-1,12,0
